Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch10|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Std_Training_Loss_epoch1|Std_Training_Loss_epoch10|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9
AMSGrad|0.40685000000000004|0.04594|0.25549|0.20695999999999998|0.17294|0.14382999999999999|0.11879999999999999|0.09657|0.07641|0.05965|0.00698064785277444|0.003986142663444615|0.005263385053577416|0.004852994493666316|0.004345163339213438|0.0045555948507790345|0.0042708313008125234|0.004305564874541885|0.004313660471880778|0.004337754155218011
Adadelta|2.1894199999999997|0.59548|1.70383|1.12438|0.8712500000000001|0.7626000000000001|0.70338|0.66474|0.63631|0.61392|0.02791705173863786|0.014345018492687833|0.10946509387826686|0.07579527689770649|0.044972293939960675|0.032104205332012185|0.024942146392535388|0.02059353728182165|0.01775239889892817|0.01584464858836851
Adagrad|0.56663|0.33441|0.43524|0.4027|0.3835|0.37033|0.36016|0.35221|0.34534000000000004|0.3395|0.011787663042350653|0.006687210014481217|0.008651679348863777|0.008247827996913273|0.007554689492847035|0.007321664959404926|0.007037392193766725|0.006777159352478668|0.00670127682692717|0.006620339031264867
Adam|0.40681|0.04428|0.25622|0.20788|0.17377|0.14298|0.11608|0.09235|0.07153000000000001|0.05588|0.007145076004572053|0.0027851989755371762|0.0055661277184212874|0.004759038184806302|0.004483810383541609|0.004609603501869165|0.0041582047408306715|0.0037068255361637384|0.0041158366234717225|0.003168525770063352
AdamW|0.40709999999999996|0.04762|0.25664|0.20873|0.17478|0.14447000000000002|0.11821999999999999|0.09504|0.07492|0.05892000000000001|0.007105866121264404|0.002622467031886831|0.005605394227388871|0.004784709442008413|0.004370049580191665|0.004627226190950927|0.004333794847218519|0.0037988887263982253|0.0028326665882168313|0.003449573242526611
HeavyBall|0.92974|0.29369|0.50178|0.43197|0.39172|0.36571|0.34661|0.32915|0.31573|0.30354000000000003|0.03045967096925957|0.0028687782920415604|0.012855245362626631|0.009605791077377352|0.005792101902111576|0.003763700897314295|0.004606143240885537|0.0035901872436468435|0.003146797313671969|0.002671745164161822
HeavyBallCurvature|0.45649999999999996|0.07027|0.2758|0.22730999999999998|0.19508|0.16776|0.14503|0.1234|0.10372999999999999|0.08578|0.004313029355594774|0.002726841885160683|0.0026816247148158316|0.0024378724786629532|0.0025667965335110657|0.0024482193075330894|0.0025416748633747613|0.0024321915129272916|0.002835117085569641|0.0026050378542781705
NAG|0.92972|0.29363|0.50179|0.43196|0.39170000000000005|0.36574|0.34656000000000003|0.32916|0.31569|0.30349|0.030498116517436107|0.0028767458467279664|0.012827613443921148|0.009680587677294062|0.005849786320883857|0.003820180333148905|0.0046351794883142325|0.003604071771390429|0.0031426987694584277|0.00269833281861224
NAGCurvature|0.45657|0.07007|0.27587|0.22734000000000001|0.19521|0.16798|0.14518999999999999|0.12378|0.10359|0.08579|0.004411865314756958|0.0028027962228222504|0.002939784572606187|0.002505638086839799|0.0027143446108898275|0.0023630488780387077|0.0022417503082289166|0.0028361946336596835|0.0025557995052646644|0.00228008284449881
NAdam|0.38831|0.12342|0.24332000000000004|0.19946|0.1702|0.14955000000000002|0.13371|0.12436|0.12043999999999999|0.11978|0.006960914690853005|0.0046995980915629605|0.004208932300609157|0.0037008107219905196|0.0032427697352040786|0.003935663151801039|0.0029726344470108693|0.0031556650998200435|0.0035327672502507763|0.0031147676924255167
